class,tweet_en_clean
2,As a woman you shouldnt complain about cleaning up your house as a man you should always take the trash out
1,boy dats coldtyga dwn bad for cuffin dat hoe in the 1st place
1,RT Dawg You ever fuck a bitch and she start to cry You be confused as shit
1,she look like a tranny
1,The shit you hear about me might be true or it might be faker than the bitch who told it to ya 57361
1,The shit just blows meclaim you so faithful and down for somebody but still fucking with hoes 128514128514128514
1,I can not just sit up and HATE on another bitch I got too much shit going on
1,8220 cause Im tired of you big bitches coming for us skinny girls8221
1,you might not get ya bitch back thats that
1,hobbies include fighting Mariam bitch
1,Keeks is a bitch she curves everyone lol I walked into a conversation like this Smh
1,Murda Gang bitch its Gang Land
1,So hoes that smoke are losers yea go on IG
1,bad bitches is the only thing that i like
1,bitch get up off me
1,bitch nigga miss me with it
1,bitch plz whatever
1,bitch who do you love
1,bitches get cut off everyday B
1,black bottle a bad bitch
1,broke bitch cant tell me nothing
1,cancel that bitch like Nino
1,cant you see these hoes wont change
1,fuck no that bitch dont even suck dick 128514128514128514 the Kermit videos bout to fuck IG up
1,got ya bitch tip toeing on my hardwood floors 128514
1,her pussy lips like Heaven doors 128524
1,hoe what its hitting for
1,i met that pussy on Ocean Dr i gave that pussy a pill 128524
1,i need a trippy bitch who fuck on Hennessy
1,i spend my money how i want bitch its my business
1,i txt my old bitch my new bitch pussy wetter
1,id say im back to the old me but my old bitches would get excited 128524
1,if you aint bout that Murder Game pussy nigga shut up
1,if youre toes aint done you pussy stinks
1,im done with bitter bitches its a wrap for that if you a angry bird theres a app for that
1,is that ya bitch
1,it aint nothing to cut a bitch off
1,jus meet son now he ya mane ass bitches Shots
1,lames crying over hoes thats tears of a clown
1,like Snoop said in 94 we dont love these hoes
2,momma said no pussy cats inside my doghouse
1,most hated but the hoes favorite 2MW SevenOne
1,nice girls bad make me get naughty Bad yello hoe real nice body Down south chick like em real thick
1,pimps up pimps up hoes down Future voice
1,post a picture of that pussy get 200 likes
1,pussy is a powerful drug 128517 HappyHumpDay
1,quick piece of pussy call it a drive by
1,running round here like some brand new pussy thats bout to get fucked
1,these bitches even worst theyll send them guys for you
1,these hoes like niggas that spend money not talk bout it
1,we dont trust these niggas all these bitches
